STUDCODE,SUBJECT,SCORE,Score_Trend,Rolling_Avg_2Months,Cumulative_Avg_Score,Performance_Stability,Improved,Normalized_Score,Exam_Month,Exam_Quarter,Score_Rank,time_idx
872,ENGLISH,62.5,0.0,62.5,62.5,0.0,0,62.5,7,3,992.0,0
872,ENGLISH,66.67,4.170000000000002,64.58500000000001,64.58500000000001,2.9486352775478992,1,66.67,8,3,670.5,1
872,ENGLISH,75.0,8.329999999999998,70.83500000000001,68.05666666666667,6.364325049314599,1,75.0,9,3,681.0,2
872,ENGLISH,79.17,4.170000000000002,77.08500000000001,70.83500000000001,6.364325049314591,1,79.17,10,4,161.0,3
872,ENGLISH,91.67,12.5,85.42,75.002,8.674942843231479,1,91.67,11,4,170.0,4
872,HINDI,90.0,0.0,90.0,90.0,0.0,0,90.0,7,3,47.0,0
872,HINDI,65.0,-25.0,77.5,77.5,17.67766952966369,0,65.0,8,3,938.5,1
872,HINDI,75.0,10.0,70.0,76.66666666666667,12.583057392117917,1,75.0,9,3,510.5,2
872,HINDI,63.89,-11.11,69.445,73.4725,6.119152991495914,0,63.89,10,4,593.0,3
872,HINDI,79.17,15.280000000000001,71.53,74.612,7.898305725491598,1,79.17,11,4,384.0,4
872,MATHS,75.0,0.0,75.0,75.0,0.0,0,75.0,7,3,291.5,0
872,MATHS,50.0,-25.0,62.5,62.5,17.67766952966369,0,50.0,8,3,1220.5,1
872,MATHS,62.5,12.5,56.25,62.5,12.5,1,62.5,9,3,652.5,2
872,MATHS,70.83,8.329999999999998,66.66499999999999,64.5825,10.484335935098608,1,70.83,10,4,183.5,3
872,MATHS,75.0,4.170000000000002,72.91499999999999,66.666,6.36432504931461,1,75.0,11,4,454.0,4
872,SCIENCE,55.0,0.0,55.0,55.0,0.0,0,55.00000000000001,7,3,922.0,0
872,SCIENCE,70.0,15.0,62.5,62.5,10.606601717798213,1,70.0,8,3,581.0,1
872,SCIENCE,60.0,-10.0,65.0,61.666666666666664,7.637626158259733,0,60.0,9,3,1126.0,2
872,SCIENCE,41.67,-18.33,50.835,56.667500000000004,14.367659285121336,0,41.67,10,4,1705.5,3
872,SCIENCE,93.75,52.08,67.71000000000001,64.084,26.417727002904698,1,93.75,11,4,184.5,4
873,ENGLISH,81.25,0.0,81.25,81.25,0.0,0,81.25,7,3,396.5,0
873,ENGLISH,75.0,-6.25,78.125,78.125,4.419417382415922,0,75.0,8,3,431.5,1
873,ENGLISH,75.0,0.0,75.0,77.08333333333333,3.60843918243516,0,75.0,9,3,681.0,2
873,ENGLISH,83.33,8.329999999999998,79.16499999999999,78.645,4.809327742349577,1,83.33,10,4,121.5,3
873,ENGLISH,83.33,0.0,83.33,79.582,4.809327742349572,0,83.33,11,4,377.0,4
873,HINDI,70.0,0.0,70.0,70.0,0.0,0,70.0,7,3,543.5,0
873,HINDI,70.0,0.0,70.0,70.0,0.0,0,70.0,8,3,695.0,1
873,HINDI,75.0,5.0,72.5,71.66666666666667,2.886751345948127,1,75.0,9,3,510.5,2
873,HINDI,63.89,-11.11,69.445,69.7225,5.564233999392905,0,63.89,10,4,593.0,3
873,HINDI,79.17,15.280000000000001,71.53,71.612,7.898305725491595,1,79.17,11,4,384.0,4
873,MATHS,62.5,0.0,62.5,62.5,0.0,0,62.5,7,3,621.0,0
873,MATHS,50.0,-12.5,56.25,56.25,8.838834764831844,0,50.0,8,3,1220.5,1
873,MATHS,62.5,12.5,56.25,58.333333333333336,7.216878364870322,1,62.5,9,3,652.5,2
873,MATHS,75.0,12.5,68.75,62.5,12.5,1,75.0,10,4,140.5,3
873,MATHS,75.0,0.0,75.0,65.0,7.216878364870324,0,75.0,11,4,454.0,4
873,SCIENCE,50.0,0.0,50.0,50.0,0.0,0,50.0,7,3,1202.0,0
873,SCIENCE,55.0,5.0,52.5,52.5,3.5355339059327378,1,55.00000000000001,8,3,1129.5,1
873,SCIENCE,55.0,0.0,55.0,53.333333333333336,2.886751345948128,0,55.00000000000001,9,3,1326.5,2
873,SCIENCE,38.89,-16.11,46.945,49.7225,9.30111283664487,0,38.89,10,4,1806.5,3
873,SCIENCE,100.0,61.11,69.445,59.778,31.672712229930667,1,100.0,11,4,46.0,4
874,ENGLISH,56.25,0.0,56.25,56.25,0.0,0,56.25,7,3,1252.5,0
874,ENGLISH,66.67,10.420000000000002,61.46,61.46,7.368052659963826,1,66.67,8,3,670.5,1
874,ENGLISH,68.75,2.0799999999999983,67.71000000000001,63.89000000000001,6.697671237079348,1,68.75,9,3,895.5,2
874,ENGLISH,79.17,10.420000000000002,73.96000000000001,67.71000000000001,6.697671237079343,1,79.17,10,4,161.0,3
874,ENGLISH,83.33,4.159999999999997,81.25,70.834,7.510641339681531,1,83.33,11,4,377.0,4
874,HINDI,75.0,0.0,75.0,75.0,0.0,0,75.0,7,3,362.5,0
874,HINDI,70.0,-5.0,72.5,72.5,3.5355339059327378,0,70.0,8,3,695.0,1
874,HINDI,68.75,-1.25,69.375,71.25,3.307189138830738,0,68.75,9,3,739.0,2
874,HINDI,63.89,-4.859999999999999,66.32,69.41,3.2278527434400304,0,63.89,10,4,593.0,3
874,HINDI,79.17,15.280000000000001,71.53,71.362,7.8067748355728455,1,79.17,11,4,384.0,4
874,MATHS,50.0,0.0,50.0,50.0,0.0,0,50.0,7,3,1076.5,0
874,MATHS,50.0,0.0,50.0,50.0,0.0,0,50.0,8,3,1220.5,1
874,MATHS,62.5,12.5,56.25,54.166666666666664,7.216878364870324,1,62.5,9,3,652.5,2
874,MATHS,62.5,0.0,62.5,56.25,7.216878364870324,0,62.5,10,4,326.0,3
874,MATHS,68.75,6.25,65.625,58.75,3.608439182435164,1,68.75,11,4,676.0,4
874,SCIENCE,50.0,0.0,50.0,50.0,0.0,0,50.0,7,3,1202.0,0
874,SCIENCE,50.0,0.0,50.0,50.0,0.0,0,50.0,8,3,1305.5,1
874,SCIENCE,55.0,5.0,52.5,51.666666666666664,2.88675134594813,1,55.00000000000001,9,3,1326.5,2
874,SCIENCE,47.22,-7.780000000000001,51.11,50.555,3.942435795292045,0,47.22,10,4,1467.0,3
874,SCIENCE,93.75,46.53,70.485,59.194,24.923656098841786,1,93.75,11,4,184.5,4
876,ENGLISH,68.75,0.0,68.75,68.75,0.0,0,68.75,7,3,734.0,0
876,ENGLISH,58.33,-10.420000000000002,63.54,63.54,7.368052659963826,0,58.32999999999999,8,3,987.0,1
876,ENGLISH,50.0,-8.329999999999998,54.165,59.026666666666664,9.39439371824139,0,50.0,9,3,1669.5,2
876,ENGLISH,66.67,16.67,58.335,60.9375,8.335000499900005,1,66.67,10,4,373.5,3
876,ENGLISH,83.33,16.659999999999997,75.0,65.416,16.665000250025006,1,83.33,11,4,377.0,4
876,HINDI,65.0,0.0,65.0,65.0,0.0,0,65.0,7,3,743.0,0
876,HINDI,65.0,0.0,65.0,65.0,0.0,0,65.0,8,3,938.5,1
876,HINDI,50.0,-15.0,57.5,60.0,8.660254037844387,0,50.0,9,3,1579.0,2
876,HINDI,58.33,8.329999999999998,54.165,59.582499999999996,7.515293296560909,1,58.32999999999999,10,4,837.5,3
876,HINDI,75.0,16.67,66.66499999999999,62.666,12.72974076719554,1,75.0,11,4,528.5,4
876,MATHS,37.5,0.0,37.5,37.5,0.0,0,37.5,7,3,1568.5,0
876,MATHS,50.0,12.5,43.75,43.75,8.838834764831844,1,50.0,8,3,1220.5,1
